code,name
351,Afghanistan
201,Albania
401,Algeria
721,American Samoa
153,Andorra
451,Angola
670,Anguilla
641,Antigua And Barbuda
601,Argentina
217,Armenia
625,Aruba
701,Australia
131,Austria
218,Azerbaijan
642,Bahamas Island
371,Bahrain
352,Bangladesh
643,Barbados
211,Belarus
101,Belgium
644,Belize
452,Benin
645,Bermuda
353,Bhutan
646,Bolivia
453,Botswana
139,Bouvet Island
602,Brazil
708,British Indian Ocean
671,British Virgin Islnd
302,Brunei
202,Bulgaria
454,Burkina Faso
455,Burundi
312,Cambodia
456,Cameroon United Rep
501,Canada
457,Cape Verde
647,Cayman Islands
458,Central African Rep
459,Chad
603,Chile
709,Christmas Islands
710,Cocos Keeling Island
604,Colombia
460,Comoros Island
461,Congo
722,Cook Island
648,Costa Rica
422,Cote Divoire
232,Croatia
621,Cuba
372,Cyprus
234,Czech Republic
203,Czechoslovakia
409,Dem Rep Of Somali
385,Democratic Yemen
102,Denmark
407,Djibouti
649,Dominica
622,Dominican Republic
307,East Timor
605,Ecuador
402,Egypt
650,El Salvador
462,Equatorial Guinea
410,Eritrea
213,Estonia
408,Ethiopia
141,Faeroe Islands
651,Falkland Is
702,Fiji
132,Finland
103,France
652,French Guiana
723,French Polynesia
711,French Southern Terr
463,Gabon
464,Gambia
216,Georgia
104,Germany
421,Ghana
154,Gibraltar
105,Greece
142,Greenland
653,Grenada
654,Guadeloupe
724,Guam
655,Guatemala
156,Guernsey
465,Guinea
466,Guines Bissau
656,Guyana
657,Haiti
712,Heard Mcdonald Islnd
658,Honduras
332,Hong Kong
205,Hungary
133,Iceland
354,India
303,Indonesia
374,Iraq
106,Ireland
373,Islamic Rep Of Iran
672,Isle Of Man
375,Israel
107,Italy
659,Jamaica
331,Japan
376,Jordan
221,Kazakhstan
423,Kenya
725,Kiribati
337,Korea North Dem Peo
377,Kuwait
219,Kyrgyzstan
313,Laos Peo Dem Rep
214,Latvia
378,Lebanon
467,Lesotho
424,Liberia
403,Libya A Jamahiriya
138,Liechstenstein
215,Lithuania
108,Luxembourg
335,Macau
425,Madagascar
468,Malawi
304,Malaysia
355,Maldives
469,Mali
155,Malta
735,Marshall Islands
661,Martinique
470,Mauritania
426,Mauritius
606,Mexico
736,Micronesia
222,Moldova
143,Monaco
338,Mongolia
662,Montserrat
404,Morocco
427,Mozambique
311,Myanmar
471,Namibia
703,Nauru
356,Nepal
109,Netherlands
623,Netherlands Antilles
704,New Caledonia
732,New Herbrides
705,New Zealand
660,Nicaragua
472,Niger
428,Nigeria
726,Niue
713,Norfolk Island
734,Northern Mariana Islands
134,Norway
499,O C In Other Africa
319,O C In S E Asia
699,Oc Ctrl Sth America
509,Oc North America
799,Oc Oceania
379,Oman
999,Others
357,Pakistan
737,Palau
386,Palestine
624,Panama
706,Papua New Guinea
607,Paraguay
336,People'S Republic Of China
608,Peru
305,Philippines
727,Pitcairn
206,Poland
111,Portugal
502,Puerto Rico
380,Qatar
333,Rep Of Korea
482,Rep Of Zaire
429,Reunion Island
207,Romania
223,Russia
473,Rwanda
663,Saint Kitts Nevis
664,Saint Lucia
665,Saint Vincent
707,Samoa
144,San Marino
474,Sao Tome Principe
381,Saudi Arabia
475,Senegal
476,Seychelles
477,Sierra Leone
301,Singapore
235,Slovak Republic
233,Slovenia
728,Solomon Islands
478,South Africa
112,Spain
358,Sri Lanka
484,St Helena
505,St Pierre Miquelon
405,Sudan
666,Surinam
135,Svalbard Jan Mayen
480,Swaziland
136,Sweden
137,Switzerland
382,Syrian Arab Rep
334,Taiwan
224,Tajikistan
430,Tanzania
306,Thailand
481,Togo
729,Tokelau
730,Tonga
667,Trinidad And Tobago
406,Tunisia
152,Turkey
225,Turkmenistan
668,Turks And Caicos Is
731,Tuvalu
504,U S Minor Islands
431,Uganda
212,Ukraine
383,United Arab Emirates
110,United Kingdom
503,United States
609,Uruguay
226,Uzbekistan
145,Vatican City State
610,Venezuela
314,Vietnam Soc Rep Of
669,Virgin Islands Us
733,Wallis And Futuna
479,Western Sahara
384,Yemen
209,Yugoslavia
432,Zambia
483,Zimbabwe
