code,name
351,Afghan
201,Albanian
401,Algerian
503,American
721,American Samoa
153,Andorran
451,Angolan
670,Anguilla
673,Antarctica
641,Antigua
601,Argentinian
217,Armenian
625,Aruba
701,Australian
131,Austrian
218,Azerbaijani
642,Bahamas
371,Bahraini
352,Bangladeshi
643,Barbados
211,Belarussian
101,Belgian
644,Belize
452,Benin
645,Bermudan
353,Bhutan
646,Bolivian
994,Bosnian
453,Botswana
139,Bouvet Island
738,Br Nat. Overseas
995,Br Overseas Cit.
996,Br Protected Pers.
602,Brazilian
110,British
675,British Dependent Terr Citizen
708,British Indian Ocean
886,British Subject
671,British Virgin Islnd
302,Bruneian
202,Bulgarian
454,Burkina Faso
455,Burundi
312,Cambodian
456,Cameroon
501,Canadian
457,Cape Verde
647,Caymanese
458,Central African Rep
459,Chadian
603,Chilean
336,Chinese
709,Christmas Islands
710,Cocos Keeling Island
604,Colombian
460,Comoros
461,Congo
722,Cook Islands
648,Costa Rican
232,Croatian
621,Cuban
372,Cypriot
234,Czech
203,Czechoslovak
102,Danish
674,Democratic Rep Of The Congo
407,Djibouti
649,Dominica
622,Dominican Republic
991,Dutch
887,East Timorese
605,Ecuadorian
402,Egyptian
462,Equatorial Guinea
410,Eritrea
213,Estonian
408,Ethiopian
141,Faeroe Islands
651,Falkland Is
702,Fijian
305,Filipino
132,Finnish
103,French
652,French Guiana
723,French Polynesia
711,French Southern Terr
463,Gabon
464,Gambian
216,Georgia
104,German
421,Ghanaian
154,Gibraltar
105,Greek
142,Greenland
653,Grenadian
654,Guadeloupe
724,Guam
655,Guatemala
465,Guinea
466,Guines Bissau
656,Guyana
657,Haitian
712,Heard Mcdonald Islnd
658,Honduran
332,Hong Kong
205,Hungarian
133,Iceland
354,Indian
303,Indonesian
373,Iranian
374,Iraqi
106,Irish
672,Isle Of Man
375,Israeli
107,Italian
422,Ivory Coast
659,Jamaican
331,Japanese
376,Jordanian
676,Kampuchean
221,Kazakh
423,Kenyan
219,Kirghiz
725,Kiribati
337,"Korean, North"
333,"Korean, South"
677,Kosovar
377,Kuwaiti
990,Kyrghis
894,Kyrgyzstan
313,Laotian
214,Latvian
378,Lebanese
467,Lesotho
424,Liberian
403,Libyan
138,Liechtenstein
215,Lithuania
108,Luxembourg
335,Macao
210,Macedonia
425,Madagascar
468,Malawi
304,Malaysian
355,Maldivian
469,Mali
155,Maltese
735,Marshelles
661,Martinique
470,Mauritanean
426,Mauritian
606,Mexican
736,Micronesian
222,Moldovian
143,Monaco
338,Mongolian
678,Montenegrin
662,Montserrat
404,Moroccan
427,Mozambique
311,Myanmar
471,Namibia
703,Nauruan
356,Nepalese
109,Netherlands
623,Netherlands Antil.
704,New Caledonia
705,New Zealander
660,Nicaraguan
472,Niger
428,Nigerian
726,Niue Island
713,Norfolk Island
734,Northern Mariana Isl
134,Norwegian
699,Oc Ctrl Sth America
499,Oc In Other Africa
319,Oc In S E Asia
509,Oc North America
799,Oc Oceania
379,Oman
999,Others
998,Pacific Is Trust T
357,Pakistani
737,Palau
386,Palestinian
624,Panamanian
706,Papua New Guinea
607,Paraguay
608,Peruvian
727,Pitcairn
206,Polish
111,Portuguese
502,Puerto Rican
380,Qatar
429,Reunion
207,Romanian
223,Russian
473,Rwanda
663,Saint Kitts Nevis
650,Salvadoran
707,Samoan
144,San Marino
474,Sao Tome Princi
381,Saudi Arabian
475,Senegalese
679,Serbian
476,Seychelles
477,Sierra Leone
301,Singapore Citizen
235,Slovak
233,Slovenian
728,Solomon Islands
409,Somali
478,South African
112,Spanish
358,Sri Lankan
484,St Helena
664,St Lucia
505,St Pierre Miquelon
665,St Vincent
405,Sudanese
666,Suriname
135,Svalbard Jan Mayen
480,Swazi
136,Swedish
137,Swiss
382,Syrian
224,Tadzhik
334,Taiwanese
992,Tajikistani
430,Tanzanian
306,Thai
307,Timorense
481,Togo
729,Tokelau Islands
730,Tonga
667,Trinidad And Tobago
406,Tunisia
152,Turk
225,Turkmen
668,Turks And Caicos Is
731,Tuvalu
504,U S Minor Islands
431,Ugandian
212,Ukrainian
383,United Arab Em.
889,Unknown
993,Upper Volta
609,Uruguay
226,Uzbek
732,Vanuatu
145,Vatican City State
610,Venezuelan
314,Vietnamese
669,Virgin Islands Us
733,Wallis And Futuna
479,Western Sahara
388,Yemen Arab Rep
387,"Yemen, South"
384,Yemeni
209,Yugoslav
482,Zairan
432,Zambian
483,Zimbabwean
